트림 명칭,트림코드,라인업코드,사용여부,소비자가
GLE450 4MATIC (A/T),7050101,70501,Y,116400000
GLE300d 4MATIC (A/T),7050201,70502,Y,92700000
GLE400d 4MATIC Coupe (A/T),7050301,70503,Y,119300000
GLB220 (A/T),7060101,70601,Y,
GLB250 4MATIC (A/T),7060102,70601,Y,
GLB220 (A/T),7060201,70602,Y,
GLB250 4MATIC (A/T),7060202,70602,Y,
GLB250 4MATIC (7인승) (A/T),7060203,70602,Y,
GLB200d (A/T),7060301,70603,Y,
AMG GLB35 4MATIC (A/T),7060401,70604,Y,
520i Luxury Line (A/T),8010101,80101,Y,63600000
520i M Sport Package (A/T),8010102,80101,Y,65100000
530i Luxury Line (A/T),8010103,80101,Y,72000000
530i M Sport Package (A/T),8010104,80101,Y,76200000
530i xDrive Luxury Line (A/T),8010105,80101,Y,75600000
530i xDrive M Sport Package (A/T),8010106,80101,Y,79800000
530e Luxury Line (A/T),8010201,80102,Y,78800000
530e M Sport Package (A/T),8010202,80102,Y,81600000
540i xDrive Luxury Line (A/T),8010301,80103,Y,98400000
540i xDrive M Sport Package (A/T),8010302,80103,Y,102100000
M550i xDrive (A/T),8010401,80104,Y,116400000
523d Luxury Line (A/T),8010501,80105,Y,70400000
523d M Sport Package (A/T),8010502,80105,Y,75000000
523d xDrive Luxury Line (A/T),8010503,80105,Y,73900000
523d xDrive M Sport Package (A/T),8010504,80105,Y,78500000
740Li xDrive DPE (A/T),8020101,80201,Y,163200000
740Li xDrive M Sport Package (A/T),8020102,80201,Y,167000000
740i sDrive DPE (A/T),8020103,80201,Y,140500000
740i sDrive M Sport Package (A/T),8020104,80201,Y,144300000
745e DPE (A/T),8020201,80202,Y,147400000
745e M Sport Package (A/T),8020202,80202,Y,151300000
745Le DPE (A/T),8020203,80202,Y,162900000
745Le M Sport Package (A/T),8020204,80202,Y,166700000
M760Li xDrive (A/T),8020301,80203,Y,232600000
730d xDrive DPE (A/T),8020401,80204,Y,138600000
730d xDrive M Sport Package (A/T),8020402,80204,Y,142400000
730Ld xDrive DPE (A/T),8020403,80204,Y,149600000
730Ld xDrive M Sport Package (A/T),8020404,80204,Y,153300000
740d xDrive DPE (A/T),8020405,80204,Y,148300000
740d xDrive M Sport Package (A/T),8020406,80204,Y,152100000
118d Joy (A/T),8030101,80301,Y,39400000
118d Sport Line (A/T),8030102,80301,Y,41900000
118d M Sport Package (A/T),8030103,80301,Y,45500000
M235i xDrive Gran Coupe (A/T),8040101,80401,Y,59900000
M235i xDrive Gran Coupe M Performance Edition (A/T),8040102,80401,Y,61800000
218d Gran Coupe Advantage (A/T),8040201,80402,Y,40900000
218d Gran Coupe M Sport Package (A/T),8040202,80402,Y,47200000
218d Gran Coupe M Sport Edition (A/T),8040203,80402,Y,48900000
220d Gran Coupe Luxury Line (A/T),8040204,80402,Y,48300000
320i Sedan (A/T),8050101,80501,Y,51700000
320i Sedan Luxury Line (A/T),8050102,80501,Y,54600000
320i Sedan M Sport Package (A/T),8050103,80501,Y,54600000
320i Sedan M Sport Black Suit (A/T),8050104,80501,Y,54200000
M340i Sedan (A/T),8050201,80502,Y,75800000
M340i Long Beach Blue Edition (A/T),8050202,80502,Y,79100000
320d Sedan M Sport Package (A/T),8050301,80503,Y,57000000
320d Sedan M Sport Package xDrive (A/T),8050302,80503,Y,60000000
320d Sedan (A/T),8050303,80503,Y,54100000
320d Sedan xDrive (A/T),8050304,80503,Y,57000000
320d Sedan Luxury Line (A/T),8050305,80503,Y,57000000
320d Sedan Luxury BMW Korea 25th Edition (A/T),8050306,80503,Y,62200000
320d Sedan Luxury Line xDrive (A/T),8050307,80503,Y,60000000
xDrive20i Advantage (A/T),8060101,80601,Y,
xDrive20i M Sport Package (A/T),8060102,80601,Y,
xDrive18d Advantage (A/T),8060201,80602,Y,
xDrive18d M Sport Package (A/T),8060202,80602,Y,
xDrive30d xLine (7인승) (A/T),8070101,80701,Y,
xDrive30d M Sport Package (A/T),8070102,80701,Y,
xDrive40d xLine (A/T),8070103,80701,Y,
xDrive40d xLine (7인승) (A/T),8070104,80701,Y,
xDrive40d M Sport Package (A/T),8070105,80701,Y,
xDrive40i xLine (A/T),8070201,80702,Y,
xDrive40i xLine (7인승) (A/T),8070202,80702,Y,
xDrive40i M Sport Package (A/T),8070203,80702,Y,
M50i (A/T),8070301,80703,Y,
xDrive45e xLine (A/T),8070401,80704,Y,
xDrive45e M Sport Package (A/T),8070402,80704,Y,
40 TDI (A/T),9010101,90101,Y,65320000
40 TDI Premium (A/T),9010102,90101,Y,69250000
40 TDI Quattro Premium (A/T),9010103,90101,Y,72200000
45 TFSI (A/T),9010201,90102,Y,63850000
45 TFSI Quattro (A/T),9010202,90102,Y,66800000
45 TFSI Premium (A/T),9010203,90102,Y,67780000
45 TFSI Quattro Premium (A/T),9010204,90102,Y,70720000
45 TDI Quattro Premium (A/T),9010301,90103,Y,77110000
50 TDI Quattro Premium (A/T),9010302,90103,Y,84960000
TDI (A/T),9010401,90104,Y,106080000
45 TDI Quattro Premium (A/T),9020101,90201,Y,87910000
50 TDI Quattro Premium (A/T),9020102,90201,Y,97230000
55 TFSI Quattro Premium (A/T),9020201,90202,Y,95110000
TDI (A/T),9020301,90203,Y,117210000
55 TFSI Quattro Premium (A/T),9020401,90204,Y,93790000
TDI (A/T),9020501,90205,Y,115890000
A8 50 TDI Quattro (A/T),9030101,90301,Y,134580000
A8 L 50 TDI Quattro (A/T),9030102,90301,Y,144390000
A8 L 55 TFSI Quattro (A/T),9030201,90302,Y,147330000
S8 L TFSI (A/T),9030301,90303,Y,201350000
익스클루시브 (A/T),1010403,10104,N,37160000
익스클루시브 (A/T),1040301,10403,N,0
익스클루시브 (A/T),1040601,10406,N,0
익스클루시브 (A/T),2040101,20401,N,0
익스클루시브 (A/T),2040301,20403,N,0
익스클루시브 (A/T),2040401,20404,N,0
익스클루시브 (A/T),2040501,20405,N,0
익스클루시브 (A/T),2040601,20406,N,0
익스클루시브 (A/T),2070101,20701,N,0
익스클루시브 (A/T),2070201,20702,N,0
익스클루시브 (A/T),2070301,20703,N,0
익스클루시브 (A/T),2070401,20704,N,0
익스클루시브 (A/T),2070501,20705,N,0
익스클루시브 (A/T),2080201,20802,N,0
익스클루시브 (A/T),2080301,20803,N,0
익스클루시브 (A/T),2080401,20804,N,0
슈퍼캡 초장축 스타일 (M/T),1060513,10605,N,-
슈퍼캡 초장축 스마트 (M/T),1060514,10605,N,-
슈퍼캡 초장축 모던 (M/T),1060515,10605,N,-
슈퍼캡 초장축 프리미엄 (M/T),1060516,10605,N,-
슈퍼캡 장축 스마트 (M/T),1060517,10605,N,-
슈퍼캡 장축 모던 (M/T),1060518,10605,N,-
더블캡 초장축 스타일 (M/T),1060519,10605,N,-
더블캡 초장축 스마트 (M/T),1060520,10605,N,-
더블캡 초장축 모던 (M/T),1060521,10605,N,-
더블캡 초장축 프리미엄 (M/T),1060522,10605,N,-
더블캡 장축 스마트 (M/T),1060523,10605,N,-
일반캡 초장축 스타일 (M/T),1060524,10605,N,-
일반캡 초장축 스마트 (M/T),1060525,10605,N,-
일반캡 초장축 모던 (M/T),1060526,10605,N,-
일반캡 초장축 프리미엄 (M/T),1060527,10605,N,-
슈퍼캡 장축 스타일 (M/T),1060601,10606,N,-
슈퍼캡 장축 스마트 (M/T),1060602,10606,N,-
슈퍼캡 장축 모던 (M/T),1060603,10606,N,-
슈퍼캡 장축 프리미엄 (M/T),1060604,10606,N,-
더블캡 장축 스타일 (M/T),1060605,10606,N,-
더블캡 장축 스마트 (M/T),1060606,10606,N,-
더블캡 장축 모던 (M/T),1060607,10606,N,-
더블캡 장축 프리미엄 (M/T),1060608,10606,N,-
일반캡 장축 스타일 (M/T),1060609,10606,N,-
일반캡 장축 스마트 (M/T),1060610,10606,N,-
일반캡 장축 모던 (M/T),1060611,10606,N,-
일반캡 장축 프리미엄 (M/T),1060612,10606,N,-
일반캡 초장축 (M/T),1060801,10608,N,-
더블캡 초장축 (M/T),1060802,10608,N,-
내장탑차 초장축 슈퍼캡 스타일 (M/T),1060911,10609,N,-
내장탑차 초장축 슈퍼캡 스마트 (M/T),1060912,10609,N,-
내장탑차 초장축 슈퍼캡 모던플러스 (M/T),1060913,10609,N,-
내장탑차 초장축 더블캡 스마트 (M/T),1060914,10609,N,-
하이내장탑차 초장축 일반캡 스마트 (M/T),1060915,10609,N,-
하이내장탑차 초장축 슈퍼캡 스타일 (M/T),1060916,10609,N,-
하이내장탑차 초장축 슈퍼캡 스마트 (M/T),1060917,10609,N,-
하이내장탑차 초장축 슈퍼캡 모던플러스 (M/T),1060918,10609,N,-
내장탑파워게이트 초장축 슈퍼캡 스마트 (M/T),1060919,10609,N,-
저상내장탑차 초장축 슈퍼캡 스타일 (M/T),1060920,10609,N,-
냉동탑차 초장축 일반캡 스마트 트윈컴프 (M/T),1061019,10610,N,-
냉동탑차 초장축 슈퍼캡 스타일 싱글컴프 (M/T),1061020,10610,N,-
냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (M/T),1061021,10610,N,-
냉동탑차 초장축 슈퍼캡 스마트 트윈컴프 (M/T),1061022,10610,N,-
냉동탑차 초장축 슈퍼캡 모던플러스 트윈컴프 (M/T),1061023,10610,N,-
초저온냉동탑차 초장축 슈퍼캡 스마트 트윈컴프 (일체형) (M/T),1061024,10610,N,-
하이냉동탑차 초장축 일반캡 스마트 트윈검프 (M/T),1061025,10610,N,-
하이냉동탑차 초장축 슈퍼캡 스타일 싱글컴프 (M/T),1061026,10610,N,-
하이냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (M/T),1061027,10610,N,-
하이냉동탑차 초장축 슈퍼캡 스마트 트윈컴프 (M/T),1061028,10610,N,-
하이냉동탑차 초장축 슈퍼캡 모던플러스 트윈컴프 (M/T),1061029,10610,N,-
저상냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (M/T),1061030,10610,N,-
저상복합냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (다용도) (M/T),1061031,10610,N,-
저상복합냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (미닫이) (M/T),1061032,10610,N,-
냉장탑차 초장축 슈퍼캡 스타일 트윈컴프 (M/T),1061033,10610,N,-
냉장탑차 초장축 슈퍼캡 스마트 트윈컴프 (M/T),1061034,10610,N,-
하이냉장탑차 초장축 슈퍼캡 스타일 트윈검프 (M/T),1061035,10610,N,-
하이냉장탑차 초장축 슈퍼캡 스마트 트윈검프 (M/T),1061036,10610,N,-
수동식윙바디 초장축 슈퍼캡 스타일 (M/T),1061107,10611,N,-
수동식윙바디 초장축 슈퍼캡 스마트 (M/T),1061108,10611,N,-
전동식윙바디 초장축 슈퍼캡 스타일 (M/T),1061109,10611,N,-
전동식윙바디 초장축 슈퍼캡 스마트 (M/T),1061110,10611,N,-
활어운반차 초장축 슈퍼캡 스마트 (M/T),1061111,10611,N,-
다용도탑차 초장축 슈퍼캡 스마트 (M/T),1061112,10611,N,-
이동주유차 장축 슈퍼캡 스마트 (M/T),1061113,10611,N,-
파워게이트 초장축 슈퍼캡 스타일 (M/T),1061206,10612,N,-
파워게이트 초장축 슈퍼캡 스마트 (M/T),1061207,10612,N,-
파워게이트 초장축 더블캡 스마트 (M/T),1061208,10612,N,-
트랜스파워게이트 초장축 슈퍼캡 스마트 (M/T),1061209,10612,N,-
시티밴 초장축 슈퍼캡 스마트 (M/T),1061210,10612,N,-
덤프4WD 장축 슈퍼캡 스타일 (M/T),1061211,10612,N,-
덤프4WD 장축 슈퍼캡 스마트 (M/T),1061212,10612,N,-
덤프4WD 일체형 적재함 장축 슈퍼캡 스타일 (M/T),1061213,10612,N,-
덤프4WD 일체형 적재함 장축 슈퍼캡 스마트 (M/T),1061214,10612,N,-
스마트 (M/T),1070101,10701,N,15700000
스포츠 (M/T),1070201,10702,N,21790000
렌터카 스타일 (A/T),1070501,10705,N,17750000
렌터카 스마트 (A/T),1070502,10705,N,19950000
장애인용 모던 왼발장애 (A/T),1070503,10705,N,21260000
장애인용 모던 왼손왼발장애 (A/T),1070504,10705,N,21190000
SE (A/T),5010401,50104,N,0
SE 플러스 (A/T),5010402,50104,N,0
LE (A/T),5010403,50104,N,0
RE (A/T),5010404,50104,N,0
SE (A/T),5020301,50203,N,23290000
LE (A/T),5020302,50203,N,24790000
RE (A/T),5020303,50203,N,27100000
RE 시그니처 (A/T),5020304,50203,N,28690000
프리미에르 (A/T),5020305,50203,N,31040000
스탠다드 (A/T),2080501,20805,N,0
트렌디 (A/T),2080502,20805,N,0
320i Touring Luxury Line (A/T),8050401,80504,N,56600000
320d Touring M Sport Package (A/T),8050501,80505,N,59500000
