2021년형 가솔린 2.5 (사전계약-개별소비세 3.5% 적용),21101,211,Y
2021년형 가솔린 3.5 (사전계약-개별소비세 3.5% 적용),21102,211,Y
2021년형 LPG 3.5 (렌터카) (사전계약),21103,211,Y
2021년형 해치백 가솔린 2.0 (개별소비세 3.5% 적용),70701,707,Y
2021년형 세단 가솔린 2.0 (개별소비세 3.5% 적용),70702,707,Y
2021년형 세단 디젤 2.0 (개별소비세 3.5% 적용),70703,707,Y
2021년형 가솔린 3.0 (개별소비세 3.5% 적용),70801,708,Y
2021년형 그란쿠페 가솔린 2.0 (개별소비세 3.5% 적용),80801,808,Y
2021년형 그란쿠페 디젤 2.0 (개별소비세 3.5% 적용),80802,808,Y
2020년형 가솔린 2.0 (개별소비세 3.5% 적용),90401,904,Y
2021년형 가솔린 2.0 (개별소비세 3.5% 적용),90402,904,Y
2021년형 디젤 2.0 (개별소비세 3.5% 적용),90403,904,Y
2020년형 디젤 2.0 (개별소비세 3.5% 적용),90404,904,Y
2020년형 스포트백 디젤 2.0 (개별소비세 3.5% 적용),90501,905,Y
2021년형 스포트백 가솔린 2.0 (개별소비세 3.5% 적용),90502,905,Y
2021년형 스포트백 디젤 2.0 (개별소비세 3.5% 적용),90503,905,Y
2020년형 스포트백 가솔린 2.0 (개별소비세 3.5% 적용),90504,905,Y
2020년형 쿠페 가솔린 2.0 (개별소비세 3.5% 적용),90505,905,Y
2020년형 카브리올레 가솔린 2.0 (개별소비세 3.5% 적용),90506,905,Y
2020년형 디젤 3.0 (개별소비세 3.5% 적용),90601,906,Y
2021년형 디젤 3.0 (개별소비세 3.5% 적용),90602,906,Y
2020년형 디젤 3.0 (개별소비세 3.5% 적용),90701,907,Y
2021년형 디젤 3.0 (개별소비세 3.5% 적용),90702,907,Y
2021년형 SQ8 디젤 4.0 (개별소비세 3.5% 적용),90703,907,Y
2020년형 SQ8 디젤 4.0 (개별소비세 3.5% 적용),90704,907,Y
